Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q,,,
m,s,s,s,m,,°,m,m,s,s,s,m,m,,,,,,m,m,m,,m,m,m,m3/s/m,,,
0.078,1.959,1.632,1.780,0.800,66,0,0.326,0.078,1.959,1.632,1.780,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.277,0.000E+00,,,
0.152,1.666,1.388,1.514,0.800,66,0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.277,1.835E-05,,,
0.187,2.123,1.769,1.930,0.800,66,0,0.326,0.187,2.123,1.769,1.930,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.277,8.150E-05,,,
0.152,1.666,1.388,1.514,0.800,66,0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.335,0.000,0.000,0.00,0.000,0.225,0.277,8.096E-06,,,
0.187,2.123,1.769,1.930,0.800,66,0,0.326,0.187,2.123,1.769,1.930,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.335,0.000,0.000,0.00,0.000,0.225,0.277,3.940E-05,,,
0.152,1.666,1.388,1.514,0.800,66,0,0.326,0.152,1.666,1.388,1.514,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.323,8.096E-06,,,
0.187,2.123,1.769,1.930,0.800,66,0,0.326,0.187,2.123,1.769,1.930,0.218,0.185,0.55,1.50,1.50,1.50,1.50,0.305,0.000,0.000,0.00,0.000,0.225,0.323,3.508E-05,,,
0.101,1.404,1.170,1.277,0.368,1000,0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.192,0.000,0.000,0.00,0.000,0.214,0.094,1.673E-07,,,
0.116,1.468,1.224,1.335,0.368,1000,0,0.179,0.107,1.319,1.099,1.199,0.103,0.173,0.46,1.50,1.50,1.50,1.50,0.192,0.000,0.000,0.00,0.000,0.214,0.094,3.346E-07,,,
0.142,1.532,1.277,1.393,0.401,1000,0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.50,1.50,1.50,1.50,0.159,0.000,0.000,0.00,0.000,0.181,0.094,1.506E-05,,,
0.160,1.575,1.312,1.432,0.409,1000,0,0.220,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.50,1.50,1.50,1.50,0.151,0.000,0.000,0.00,0.000,0.173,0.094,4.852E-05,,,
0.142,1.532,1.277,1.393,0.401,1000,0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.50,1.50,1.50,1.50,0.159,0.000,0.000,0.00,0.000,0.181,0.393,2.788E-07,,,
