Rc,Ac,Hm0.deep,Hm0.toe,Tp.deep,Tm.deep,Tm.1.0.deep,q
0.117,0.141,1.324,1.214,1.457,0.146,0.161,3.45E-08
0.108,0.141,1.324,1.214,1.457,0.146,0.161,0.0
0.111,0.141,1.324,1.214,1.457,0.146,0.161,3.1E-06
0.105,0.141,1.324,1.214,1.457,0.146,0.161,1.65E-06
0.105,0.141,1.324,1.214,1.457,0.146,0.161,0.0
0.08,0.155,1.354,1.242,1.49,0.083,0.155,0.0
0.087,0.119,1.394,1.278,1.534,0.09,0.119,2.745E-06
0.123,0.07,1.812,1.661,1.994,0.11,0.07,0.001065
0.14,0.07,2.032,1.862,2.235,0.127,0.07,0.00185
0.083,0.096,1.394,1.278,1.534,0.09,0.105,5.1E-06
0.09,0.096,2.171,1.99,2.388,0.08,0.105,4.315E-05
0.127,0.047,1.812,1.661,1.994,0.11,0.056,0.001248
0.08,0.155,1.354,1.242,1.49,0.083,0.155,0.0
0.087,0.119,1.394,1.278,1.534,0.09,0.119,1.96E-06
0.123,0.07,1.812,1.661,1.994,0.11,0.07,0.0006694
0.14,0.07,2.032,1.862,2.235,0.127,0.07,0.001162
0.128,0.108,1.898,1.74,2.088,0.16,0.108,0.00192
0.128,0.128,1.898,1.74,2.088,0.16,0.128,0.000928
0.128,0.148,1.898,1.74,2.088,0.16,0.148,0.000328
0.128,0.14,1.898,1.74,2.088,0.16,0.14,0.000592
0.128,0.14,1.898,1.74,2.088,0.16,0.14,0.0008
0.128,0.14,1.898,1.74,2.088,0.16,0.14,0.00056
0.128,0.14,1.898,1.74,2.088,0.16,0.14,0.0006
0.128,0.14,1.898,1.74,2.088,0.16,0.14,0.000608
0.06,0.264,1.571,1.44,1.728,0.06,0.144,0.0
0.06,0.264,1.571,1.44,1.728,0.06,0.144,0.0
0.06,0.264,1.571,1.44,1.728,0.06,0.144,0.0
0.06,0.264,1.571,1.44,1.728,0.06,0.144,0.0
0.06,0.264,1.571,1.44,1.728,0.06,0.144,0.0
0.06,0.264,1.571,1.44,1.728,0.06,0.144,0.0
0.06,0.264,1.571,1.44,1.728,0.06,0.144,0.0
0.059,0.119,1.073,0.984,1.181,0.066,0.094,3.13E-07
0.043,0.099,0.903,0.827,0.993,0.045,0.074,0.0
0.051,0.089,0.976,0.894,1.073,0.055,0.064,2.907E-07
0.076,0.109,1.244,1.14,1.368,0.086,0.084,2.012E-06
0.055,0.194,1.146,1.051,1.261,0.075,0.169,0.0
0.059,0.094,1.073,0.984,1.181,0.066,0.069,1.901E-06
0.075,0.084,1.244,1.14,1.368,0.086,0.059,4.584E-05
0.088,0.084,1.293,1.185,1.422,0.095,0.059,9.28E-05
0.065,0.119,1.073,0.984,1.181,0.066,0.094,5.031E-06
0.048,0.099,0.927,0.85,1.02,0.048,0.074,4.472E-07
0.055,0.089,1.0,0.917,1.1,0.056,0.064,2.907E-06
0.084,0.109,1.195,1.096,1.315,0.082,0.084,4.584E-05
0.058,0.194,1.146,1.051,1.261,0.075,0.169,4.472E-07
0.065,0.119,1.073,0.984,1.181,0.066,0.094,1.453E-06
0.048,0.099,0.927,0.85,1.02,0.048,0.074,1.118E-07
0.055,0.089,1.0,0.917,1.1,0.056,0.064,7.826E-07
0.084,0.109,1.195,1.096,1.315,0.082,0.084,2.024E-05
0.058,0.194,1.146,1.051,1.261,0.075,0.169,3.354E-07
0.065,0.119,1.073,0.984,1.181,0.066,0.094,8.944E-08
0.048,0.099,0.927,0.85,1.02,0.048,0.074,0.0
0.055,0.089,1.0,0.917,1.1,0.056,0.064,1.118E-08
0.084,0.109,1.195,1.096,1.315,0.082,0.084,8.721E-06
0.058,0.194,1.146,1.051,1.261,0.075,0.169,0.0
0.068,0.172,1.518,1.391,1.67,0.22,0.172,2.016E-05
0.073,0.172,2.087,1.913,2.296,0.22,0.172,6.688E-05
0.086,0.136,1.518,1.391,1.67,0.22,0.136,0.000325
0.093,0.136,2.087,1.913,2.296,0.22,0.136,0.0005309
0.106,0.094,1.518,1.391,1.67,0.22,0.094,0.002237
0.116,0.094,2.087,1.913,2.296,0.22,0.094,0.002503
0.116,0.094,2.087,1.913,2.296,0.22,0.094,0.001365
0.093,0.136,2.087,1.913,2.296,0.22,0.136,0.0001441
