Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q
0.142,1.532,1.277,1.393,0.401,1000.0,0.0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.5,1.5,1.5,1.5,0.159,0.0,0.0,0.0,0.0,0.181,0.094,1.506e-05
0.16,1.575,1.312,1.432,0.409,1000.0,0.0,0.22,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.5,1.5,1.5,1.5,0.151,0.0,0.0,0.0,0.0,0.173,0.094,4.852e-05
0.142,1.532,1.277,1.393,0.401,1000.0,0.0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.5,1.5,1.5,1.5,0.159,0.0,0.0,0.0,0.0,0.181,0.393,2.788e-07
0.16,1.575,1.312,1.432,0.409,1000.0,0.0,0.22,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.5,1.5,1.5,1.5,0.151,0.0,0.0,0.0,0.0,0.173,0.393,2.175e-06
0.101,1.404,1.17,1.277,0.368,1000.0,0.0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.5,1.5,1.5,1.5,0.183,0.0,0.0,0.0,0.0,0.183,0.393,1.115e-07
0.116,1.468,1.224,1.335,0.368,1000.0,0.0,0.179,0.107,1.319,1.099,1.199,0.103,0.173,0.46,1.5,1.5,1.5,1.5,0.183,0.0,0.0,0.0,0.0,0.183,0.393,1.115e-07
0.142,1.532,1.277,1.393,0.401,1000.0,0.0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.5,1.5,1.5,1.5,0.15,0.0,0.0,0.0,0.0,0.15,0.393,3.402e-06
0.16,1.575,1.312,1.432,0.409,1000.0,0.0,0.22,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.5,1.5,1.5,1.5,0.142,0.0,0.0,0.0,0.0,0.142,0.393,2.509e-05
0.101,1.404,1.17,1.277,0.368,1000.0,0.0,0.179,0.097,1.277,1.064,1.161,0.103,0.173,0.46,1.5,1.5,1.5,1.5,0.183,0.0,0.0,0.0,0.0,0.183,0.094,4.461e-07
0.116,1.468,1.224,1.335,0.368,1000.0,0.0,0.179,0.107,1.319,1.099,1.199,0.103,0.173,0.46,1.5,1.5,1.5,1.5,0.183,0.0,0.0,0.0,0.0,0.183,0.094,2.565e-06
0.142,1.532,1.277,1.393,0.401,1000.0,0.0,0.212,0.126,1.362,1.135,1.238,0.136,0.173,0.46,1.5,1.5,1.5,1.5,0.15,0.0,0.0,0.0,0.0,0.15,0.094,6.692e-05
0.16,1.575,1.312,1.432,0.409,1000.0,0.0,0.22,0.132,1.383,1.153,1.257,0.144,0.173,0.46,1.5,1.5,1.5,1.5,0.142,0.0,0.0,0.0,0.0,0.142,0.094,0.0001729
0.073,1.19,0.992,1.082,0.511,44.0,0.0,0.166,0.067,1.046,0.872,0.951,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.19,0.992,1.082,0.511,44.0,0.0,0.166,0.085,1.149,0.958,1.045,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.19,0.992,1.082,0.511,44.0,0.0,0.166,0.07,1.108,0.923,1.007,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.19,0.992,1.082,0.511,51.0,30.0,0.166,0.079,1.067,0.889,0.97,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.073,1.19,0.992,1.082,0.511,51.0,30.0,0.166,0.064,0.985,0.821,0.895,0.096,0.161,0.46,1.5,1.5,1.5,1.5,0.179,0.0,0.0,0.0,0.0,0.199,0.365,0.0
0.076,1.19,0.992,1.082,0.533,44.0,0.0,0.188,0.076,1.108,0.923,1.007,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.076,1.19,0.992,1.082,0.533,44.0,0.0,0.188,0.091,1.17,0.975,1.063,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.076,1.19,0.992,1.082,0.533,44.0,0.0,0.188,0.082,1.129,0.94,1.026,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.076,1.19,0.992,1.082,0.533,51.0,30.0,0.188,0.082,1.108,0.923,1.007,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.076,1.19,0.992,1.082,0.533,51.0,30.0,0.188,0.076,1.067,0.889,0.97,0.118,0.161,0.46,1.5,1.5,1.5,1.5,0.157,0.0,0.0,0.0,0.0,0.177,0.365,0.0
0.132,1.477,1.231,1.343,0.542,44.0,0.0,0.197,0.108,1.211,1.009,1.101,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
0.132,1.477,1.231,1.343,0.542,44.0,0.0,0.197,0.114,1.334,1.111,1.213,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
0.132,1.477,1.231,1.343,0.542,44.0,0.0,0.197,0.102,1.252,1.043,1.138,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,3.5e-07
0.132,1.477,1.231,1.343,0.542,51.0,30.0,0.197,0.099,1.252,1.043,1.138,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
0.132,1.477,1.231,1.343,0.542,51.0,30.0,0.197,0.091,1.252,1.043,1.138,0.127,0.161,0.46,1.5,1.5,1.5,1.5,0.148,0.0,0.0,0.0,0.0,0.169,0.365,0.0
